Sr. No.,AMFI CODE,Scheme Name,
1,125595,Aditya Birla SL Banking & Financial Services Fund-Reg(G),
2,111349,Aditya Birla SL CEF-Global Agri-Reg(G),
3,103168,Aditya Birla SL Digital India Fund(G),
4,101738,Aditya Birla SL Dividend Yield Fund(G),
5,100033,Aditya Birla SL Equity Advantage Fund(G),
6,103166,Aditya Birla SL Equity Fund(G),
7,103309,Aditya Birla SL Focused Equity Fund(G),
8,103174,Aditya Birla SL Frontline Equity Fund(G),
9,132138,Aditya Birla SL Global Emerging Opp Fund(G),
10,132005,Aditya Birla SL Global Real Estate Fund(G),
11,115127,Aditya Birla SL Gold ETF,
12,101314,Aditya Birla SL Index Fund-Reg(G),
13,103111,Aditya Birla SL India GenNext Fund(G),
14,103476,Aditya Birla SL Infrastructure Fund(G),
15,106873,Aditya Birla SL Intl. Equity Fund-A(G),
16,106876,Aditya Birla SL Intl. Equity Fund-B(G),
17,133513,Aditya Birla SL Mfg. Equity Fund-Reg(G),
18,101592,Aditya Birla SL Midcap Fund(G),
19,100064,Aditya Birla SL MNC Fund-Reg(G),
20,147407,Aditya Birla SL Pharma & Healthcare Fund-Reg(G),
21,147846,Aditya Birla SL PSU Equity Fund-Reg(G),
22,108167,Aditya Birla SL Pure Value Fund(G),
23,105804,Aditya Birla SL Small Cap Fund(G),
24,104331,Aditya Birla SL Tax Plan(G),
25,107745,Aditya Birla SL Tax Relief '96(G),
26,112277,Axis Bluechip Fund-Reg(G),
27,147929,Axis ESG Equity Fund-Reg(G),
28,117560,Axis Focused 25 Fund-Reg(G),
29,113434,Axis Gold ETF,
30,145112,Axis Growth Opp Fund-Reg(G),
31,112323,Axis Long Term Equity Fund-Reg(G),
32,114564,Axis Midcap Fund-Reg(G),
33,141927,Axis Multicap Fund-Reg(G),
34,147665,Axis Nifty 100 Index Fund-Reg(G),
35,125350,Axis Small Cap Fund-Reg(G),
36,117549,Baroda Banking & Fin Serv Fund(G),
37,134044,Baroda ELSS 96(G),
38,112943,Baroda Large Cap Fund(G),
39,113327,Baroda Mid-cap Fund(G),
40,102020,Baroda Multi Cap Fund(G),
41,141812,BNP Paribas Focused 25 Equity Fund-Reg(G),
42,144636,BNP Paribas India Consumption Fund-Reg(G),
43,113544,BNP Paribas Large Cap Fund(G),
44,113463,BNP Paribas Long Term Equity Fund(G),
45,113566,BNP Paribas Mid Cap Fund(G),
46,113460,BNP Paribas Multi Cap Fund(G),
47,110603,BOI AXA Large & Mid Cap Equity Fund-Reg(G),
48,112359,BOI AXA Mfg & Infra Fund-Reg(G),
49,145677,BOI AXA Small Cap Fund-Reg(G),
50,111710,BOI AXA Tax Advantage Fund-Reg(G),
51,113221,Canara Rob Bluechip Equity Fund-Reg(G),
52,112152,Canara Rob Consumer Trends Fund-Reg(G),
53,102920,Canara Rob Emerg Equities Fund-Reg(G),
54,101922,Canara Rob Equity Diver Fund-Reg(G),
55,111722,Canara Rob Equity Tax Saver Fund-Reg(G),
56,103390,Canara Rob Infrastructure Fund-Reg(G),
57,146127,Canara Rob Small Cap Fund-Reg(G),
58,141875,DSP Equal Nifty 50 Fund-Reg(G),
59,105875,DSP Equity Fund-Reg(G),
60,103819,DSP Equity Opportunities Fund-Reg(G),
61,112901,DSP Focus Fund-Reg(G),
62,130492,DSP Global Allocation Fund-Reg(G),
63,145456,DSP Healthcare Fund-Reg(G),
64,102434,DSP India T.I.G.E.R Fund-Reg(G),
65,104481,DSP Midcap Fund-Reg(G),
66,108202,DSP Natural Res & New Energy Fund-Reg(G),
67,146379,DSP NIFTY 50 Index Fund-Reg(G),
